OPEID,INSTNM,CITY,STABBR,ZIP,SCH_DEG,PREDDEG,HIGHDEG,ST_FIPS,REGION,HBCU,PBI,MENONLY,WOMENONLY,ADM_RATE,ADM_RATE_ALL,UGDS_MEN,UGDS_WOMEN,COMP_ORIG_YR8_RT,OMAWDP8_ALL_POOLED_SUPP,OMAWDP8_PELL_ALL_POOLED_SUPP,C150_4_POOLED_SUPP,C150_L4_POOLED_SUPP,C150_4_PELL_POOLED_SUPP,C150_L4_PELL_POOLED_SUPP,COSTT4_A
00193700,Ottawa University-Ottawa,Ottawa,KS,66067-3399,3,3,4,20,4,0,0,0,0,0.7823,0.65470352206865,0.6345,0.3655,0.297382198953,0.4538,0.4619,0.3077,NA,0.2892,NA,50165
00192600,Pittsburg State University,Pittsburg,KS,66762,3,3,4,20,4,0,0,0,0,0.8618,0.86184708554125,0.5082,0.4918,0.495950155763,0.5564,0.4768,0.539,NA,0.4035,NA,19841
00193800,Pratt Community College,Pratt,KS,67124,1,1,2,20,4,0,0,0,0,NA,NA,0.6722,0.3278,0.298368298368,0.3921,0.3676,NA,0.4127,NA,0.3425,15774
00194300,University of Saint Mary,Leavenworth,KS,66048-5082,3,3,4,20,4,0,0,0,0,0.8193,0.81934184016118,0.5363,0.4637,0.520754716981,0.5681,0.4898,0.428,NA,0.3178,NA,43809
00549900,Salina Area Technical College,Salina,KS,67401,1,1,2,20,4,0,0,0,0,NA,NA,0.4481,0.5519,0.62987012987,0.7367,0.701,NA,0.6268,NA,0.5694,13438
00822800,Seward County Community College,Liberal,KS,67901,1,1,2,20,4,0,0,0,0,NA,NA,0.3624,0.6376,0.294429708223,0.5522,0.546,NA,0.4373,NA,0.4373,12963
00194000,Southwestern College,Winfield,KS,67156-2499,3,3,4,20,4,0,0,0,0,0.7016,0.70161290322580006,0.6648,0.3352,0.46943231441,0.4279,0.4668,0.3911,NA,0.3839,NA,51374
00194500,Sterling College,Sterling,KS,67579,3,3,4,20,4,0,0,0,0,0.611,0.61102603369065,0.6325,0.3675,0.340101522843,0.4945,0.5253,0.4008,NA,0.368,NA,42886
00194600,Tabor College,Hillsboro,KS,67063-1799,3,3,4,20,4,0,0,0,0,0.5271,0.5271164021164,0.6272,0.3728,0.397111913357,0.4992,0.4604,0.4615,NA,0.3898,NA,46710
00194900,Washburn University,Topeka,KS,66621,1,3,4,20,4,0,0,0,0,NA,0.41993957703927,0.3616,0.6384,0.464222353637,0.5522,0.4469,0.5287,NA,0.3937,NA,20321
00549800,Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,67226,1,1,2,20,4,0,0,0,0,NA,NA,0.5296,0.4704,0.241697416974,0.4402,0.3504,NA,0.3384,NA,0.3074,14992
00195000,Wichita State University,Wichita,KS,67260-0124,3,3,4,20,4,0,0,0,0,0.9485,0.94853354309472,0.4433,0.5567,0.470137825421,0.5068,0.4637,0.4976,NA,0.4627,NA,20964
00195100,Alice Lloyd College,Pippa Passes,KY,41844,3,3,3,21,5,0,0,0,0,0.9833,0.98331648129423,0.5297,0.4703,0.346153846154,0.4247,0.4214,0.3454,NA,0.3212,NA,27810
00195200,Asbury University,Wilmore,KY,40390-1198,3,3,4,21,5,0,0,0,0,0.7873,0.78733031674208,0.4061,0.5939,0.589622641509,0.6004,0.4832,0.6736,NA,0.5622,NA,44967
00199000,Ashland Community and Technical College,Ashland,KY,41101-3683,1,1,2,21,5,0,0,0,0,NA,NA,0.396,0.604,0.212032281731,0.3407,0.3284,NA,0.4761,NA,0.4501,12465
00195400,Bellarmine University,Louisville,KY,40205-0671,3,3,4,21,5,0,0,0,0,0.8778,0.87777204744713,0.3829,0.6171,0.644409937888,0.6637,0.5594,0.6261,NA,0.5153,NA,58078
00195500,Berea College,Berea,KY,40404-2182,3,3,3,21,5,0,0,0,0,0.2458,0.24582769508344,0.403,0.597,0.619047619048,0.6871,0.6716,0.6375,NA,0.6131,NA,54396
00527100,Southcentral Kentucky Community and Technical College,Bowling Green,KY,42101-3601,1,1,2,21,5,0,0,0,0,NA,NA,0.3913,0.6087,0.169811320755,0.3876,0.3459,NA,0.4672,NA,0.4164,13187
00195800,Brescia University,Owensboro,KY,42301-3023,3,3,4,21,5,0,0,0,0,0.5036,0.50361570247933,0.3848,0.6152,0.369337979094,0.4431,0.4054,0.4649,NA,0.3378,NA,40632
