first_year,sophomore,junior,senior,grad
0,7,14,15,2
4,7,8,9,10
0,12,11,12,2
0,24,11,3,0
0,13,11,14,0
0,14,13,6,5
2,16,13,4,3
0,19,14,3,2
4,7,8,10,9
2,16,11,9,0
3,7,9,12,7
0,10,25,3,0
1,22,10,4,1
0,6,16,16,0
0,3,19,14,2
0,9,22,7,0
2,18,10,6,2
0,18,15,3,2
0,12,16,6,4
2,19,10,6,1
2,14,12,10,0
0,18,11,7,2
0,10,13,12,3
2,8,16,12,0
0,13,11,13,1
2,6,14,14,2
0,14,19,4,1
2,22,8,4,2
0,20,10,4,0
5,16,11,4,2
0,3,17,13,5
