recipient_name
"NGP VAN, INC."
AMALGAMATED BANK
NGP VAN INC.
NEXT LEVEL PARTNERS
REGINA MONGE LLC
NGP VAN
USPS.COM
CAPITOL HILL CLUB
BULLFEATHERS ON THE HILL
BISTRO CACAO
NATIONAL DEMOCRATIC CLUB
RESIDENCE INN
"DEMOCRACY ENGINE, LLC"
SOUTH END STRATEGIES
POLITICAL COMPLIANCE MANAGEMENT SERVICES LLC
CAPITOL GRILLE
US SENATE CAFE
FOGO DE CHAO
THE CAPITAL GRILLE
JACKIE AMERICAN B
MEMBER'S DINING ROOM-US HOUSE OF REPRESENTATIVES
MIDDLE SEAT CONSULTING
SPRUCE STREET COMPLIANCE
"PCMS, LLC"
GRASSROOTS ANALYTICS
"ARISTOTLE INTERNATIONAL, INC"
MATCHBOX
USPS
DEMOCRACY ENGINE
THE FROST GROUP
OSTERIA MORINI
AIPAC
SONOMA RESTAURANT
REPUBLICAN ADS LLC
EL SOL RESTAURANTE & TEQUILERIA
SPRING HILL STRATEGIES
DUKE ENERGY BUSINESS SERVICES
"PREMIER POLITICAL COMPLIANCE, INC."
HOUSE GIFT SHOP
THE ENDICOTT GROUP
"CAPITOL COMPLIANCE ASSOCIATES, INC."
AMERICAN AIRLINES
REPUBLICAN JEWISH COALITION PAC
DEMOCRACY ENGINE LLC
DICKINSON WRIGHT PLLC
"THE LS GROUP, INC."
PAYCHEX
GO BIG MEDIA LLC
CAFE MILANO
SENATE DINING ROOM
ELIAS LAW GROUP
THE ELEVATED GROUP LLC
MEMBER LUNCH FUND
"GRIM STRATEGIES, LLC"
FOGO DE CHAO BRAZILIAN STEAKHOUSE
THE MONOCLE
CARMINE'S
THE ACTION NETWORK
ECKERT & ASSOCIATES
RED RIVER CO
EZEKIEL ENTERTAINMENT
DUNKIN' DONUTS
EMERGE AMERICA
LES WILLIAMSON LLC
KATZ COMPLIANCE
HOUSE OF REPRESENTATIVES GIFT SHOP
H2 CAPITAL CONSULTING LLC
"NGP SOFTWARE, INC."
ROY'S WAIKIKI
"CONGRESSIONAL INSTITUTE, INC"
ARISTOTLE INC.
IRS
"DELTA AIRLINES,INC."
"SANDLER REIFF LAMB ROSENSTEIN & BIRKENSTOCK, PC"
ARISTOTLE PUBLISHING
NGP VAN INC
YOTEL WASHINGTON DC
TEXAS STRATEGY GROUP
WE THE PIZZA
COMPLIMENTS ONLY
KEEPER OF STATIONERY
HINES RESTAURANT
WASHINGTON STATE SOCIETY
"DOME PROPERTIES, LLC"
UNITED AIRLINES
SANTA ROSA TAQUERIA
TABULARIUS COMPLIANCE
"NGP VAN, INC"
ARISTOTLE INTERNATIONAL
FEDERAL ELECTION COMMITTEE
ARISTOTLE INTERNATIONAL INC.
HELEN MILBY & CO.
THE CONGRESSIONAL CLUB MUSEUM AND FDN.
JOHN D. KUNSMAN
MBA CONSULTING GROUP
SENATE DINING CAFE
KATIE SOLOMON
AMTRAK
TATTE BAKERY
FROST GROUP
ENTERPRISE RENT A CAR
"WIN RED TECHNICAL SERVICES, LLC"
KATIE SKINNER
SOCKO STRATEGIES
RESTAURANT ASSOCIATES
BOBBY VAN'S GRILL STEAKHOUSE DC
