JURISDICTION,COUNTY,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,VIOLENT CRIME TOTAL,PROPERTY CRIME TOTALS
Cambridge,Dorchester,2019,12260,2,10,20,87,138,507,14,778,119,659
Cambridge,Dorchester,2020,12239,3,6,35,148,96,443,44,775,192,583
Capitol Heights,Prince George's,2019,4514,1,1,10,7,7,37,16,79,19,60
Capitol Heights,Prince George's,2020,4537,0,3,5,11,7,27,12,65,19,46
Cecilton,Cecil,2019,670,0,0,0,1,1,1,0,3,1,2
Cecilton,Cecil,2020,671,0,0,0,0,0,5,1,6,0,6
Centreville,Queen Anne's,2019,4944,0,2,0,2,6,32,1,43,4,39
Centreville,Queen Anne's,2020,5026,0,0,1,5,3,33,2,44,6,38
Charlestown,Cecil,2019,1196,0,0,0,0,1,3,0,4,0,4
Charlestown,Cecil,2020,1198,0,0,0,2,2,2,0,6,2,4
Chesapeake Beach,Calvert,2019,6030,0,4,1,7,11,48,4,75,12,63
Chesapeake Beach,Calvert,2020,6058,0,1,1,12,8,38,3,63,14,49
Chesapeake City,Cecil,2019,691,0,0,0,0,0,3,0,3,0,3
Chesapeake City,Cecil,2020,691,0,0,0,0,0,1,0,1,0,1
Chestertown,Kent,2019,5051,0,1,6,6,17,52,2,84,13,71
Chestertown,Kent,2020,5027,0,1,5,12,12,49,2,81,18,63
Cheverly,Prince George's,2019,6428,0,0,14,10,15,94,15,148,24,124
Cheverly,Prince George's,2020,6456,0,1,7,18,10,76,17,129,26,103
Chevy Chase,Montgomery,2019,2984,0,0,0,0,1,20,1,22,0,22
Chevy Chase,Montgomery,2020,2973,0,0,0,0,0,26,4,30,0,30
Chevy Chase Sector III,Montgomery,2019,794,0,0,0,0,1,7,2,10,0,10
Chevy Chase Sector III,Montgomery,2020,732,0,0,1,0,0,6,0,7,1,6
Chevy Chase Sector V,Montgomery,2019,702,0,0,0,0,0,6,0,6,0,6
Chevy Chase Sector V,Montgomery,2020,638,0,1,0,0,3,10,2,16,1,15
Chevy Chase View,Montgomery,2019,980,0,0,0,0,2,4,1,7,0,7
Chevy Chase View,Montgomery,2020,1017,0,0,0,0,1,5,0,6,0,6
Chevy Chase Village,Montgomery,2019,2056,0,0,0,0,11,38,3,52,0,52
Chevy Chase Village,Montgomery,2020,2067,0,0,0,0,8,62,4,74,0,74
Church Hill,Queen Anne's,2019,753,0,0,0,0,1,1,0,2,0,2
Church Hill,Queen Anne's,2020,753,0,0,0,0,0,0,0,0,0,0
Clear Spring,Washington,2019,362,0,0,1,2,5,5,0,13,3,10
Clear Spring,Washington,2020,479,0,1,0,3,3,6,0,13,4,9
College Park,Prince George's,2019,32163,0,0,0,0,0,0,0,0,0,0
Colmar Manor,Prince George's,2019,1454,0,0,1,5,2,38,2,48,6,42
Colmar Manor,Prince George's,2020,1459,0,0,2,7,4,77,3,93,9,84
Cottage City,Prince George's,2019,1356,0,0,1,1,4,17,5,28,2,26
Cottage City,Prince George's,2020,1361,0,0,3,2,7,22,9,43,5,38
Crisfield,Somerset,2019,2564,1,0,0,2,2,9,0,14,3,11
Crisfield,Somerset,2020,2548,0,0,1,4,9,31,6,51,5,46
Cumberland,Allegany,2019,19284,0,9,33,109,216,627,26,1020,151,869
Cumberland,Allegany,2020,19112,1,6,34,110,183,511,17,862,151,711
Deer Park,Garrett,2019,368,0,0,0,1,2,14,0,17,1,16
Deer Park,Garrett,2020,429,0,0,0,1,2,1,0,4,1,3
Delmar,Wicomico,2019,3354,0,0,3,10,6,50,2,71,13,58
Delmar,Wicomico,2020,3384,0,0,7,7,8,21,1,44,14,30
Denton,Caroline,2019,4512,0,1,4,6,19,135,2,167,11,156
Denton,Caroline,2020,4525,0,1,2,16,9,158,2,188,19,169
District Heights,Prince George's,2019,5984,0,1,10,9,10,38,7,75,20,55
District Heights,Prince George's,2020,6010,1,3,11,12,26,65,22,140,27,113
Eagle Harbor,Prince George's,2019,65,0,0,0,0,0,0,0,0,0,0
Eagle Harbor,Prince George's,2020,65,0,0,0,0,0,0,0,0,0,0
Easton,Talbot,2019,16670,1,8,10,30,29,297,6,381,49,332
Easton,Talbot,2020,16714,0,10,9,69,48,210,4,350,88,262
Edmonston,Prince George's,2019,1490,0,0,0,1,3,16,10,30,1,29
